TEST_AGE,CERT_GBN,TEST_SEX,ITEM_F001,ITEM_F002
61,하,F,150.4,63.6
69,하,F,146.6,54.0
65,하,F,150.0,59.1
65,상,F,145.0,66.4
61,하,F,153.1,59.15
70,하,F,159.7,61.4
66,하,F,150.0,56.5
68,중,F,151.0,63.3
66,중,F,160.0,63.0
61,하,F,155.8,67.8
66,하,F,153.0,62.6
22,하,F,157.3,45.44
49,하,F,156.7,51.8
21,하,F,170.4,56.5
69,하,M,156.4,58.9
64,하,F,152.6,57.56
34,하,M,173.9,75.1
44,하,M,169.6,84.5
54,상,F,153.2,48.78
50,하,F,156.6,72.0
20,하,M,181.0,72.4
22,하,M,180.0,71.4
21,하,M,170.0,62.7
69,하,F,151.5,56.92
75,하,M,159.4,62.54
13,하,F,158.8,46.2
13,하,F,154.9,56.0
14,하,F,163.1,47.7
14,하,F,160.3,39.4
14,하,F,153.5,53.0
14,하,F,160.8,43.3
14,하,F,163.0,55.0
14,하,F,160.9,50.3
15,하,M,164.4,75.0
14,하,F,162.4,54.9
14,하,F,145.3,47.4
14,하,M,172.3,68.9
15,하,M,158.2,41.2
15,하,M,178.4,74.9
15,하,M,157.0,45.9
13,하,M,173.8,93.0
33,하,F,165.0,56.4
69,상,M,173.0,69.5
20,하,M,175.2,124.0
20,하,F,154.8,49.9
20,하,F,162.0,48.7
14,하,F,155.2,57.7
14,하,M,160.7,45.3
14,하,M,166.1,47.6
14,하,M,168.7,79.1
14,하,M,171.1,76.9
22,하,M,183.3,104.0
20,하,F,154.0,50.8
50,하,M,163.8,70.8
48,하,M,165.0,69.0
23,하,M,171.2,105.5
21,하,F,166.0,55.8
54,하,F,156.5,72.9
19,하,F,160.2,54.8
18,하,M,173.4,69.5
51,하,F,159.9,52.3
26,하,M,168.5,71.5
19,하,M,175.4,71.2
21,하,F,172.8,57.3
54,하,F,152.0,56.3
22,하,M,178.5,76.0
23,하,M,175.0,67.6
21,하,F,159.0,57.4
20,하,M,178.5,73.1
19,하,M,169.0,65.8
66,하,F,160.5,65.22
15,하,F,144.8,44.6
15,하,M,170.7,47.2
15,하,F,162.1,53.1
15,하,M,159.8,49.5
15,하,F,152.2,45.9
15,하,F,169.0,52.4
15,중,F,155.3,47.2
15,하,F,159.2,49.0
15,하,F,152.6,50.3
15,하,F,162.0,58.8
15,하,F,162.1,48.4
15,하,F,172.0,60.3
15,하,F,151.0,57.3
15,하,M,167.6,50.8
15,하,M,167.8,63.8
15,하,M,174.6,61.0
15,하,M,164.2,56.0
15,하,M,176.4,79.5
15,하,M,180.0,81.1
15,하,M,164.4,64.7
72,하,F,150.3,57.7
20,하,M,176.2,85.9
27,하,M,167.2,65.9
54,하,F,161.6,45.9
20,하,M,177.5,75.0
21,하,M,180.3,81.4
20,하,F,160.5,80.5
38,하,M,179.5,99.7
73,하,F,151.4,54.1
20,하,F,159.4,56.1
37,하,M,178.7,94.4
33,하,M,162.6,76.7
20,하,M,175.5,70.6
68,하,M,174.4,70.42
20,하,M,182.0,82.6
25,하,M,174.3,88.1
71,하,M,163.0,57.8
70,하,M,164.5,67.1
73,하,M,157.0,67.7
23,하,F,167.3,54.5
24,하,M,171.6,68.9
68,하,M,164.3,66.5
23,하,M,184.7,86.7
22,하,M,173.0,94.5
26,하,M,173.5,67.1
22,하,M,180.2,93.8
19,하,M,184.5,89.1
19,하,M,178.4,80.2
19,하,M,178.5,83.9
73,하,M,159.0,59.0
19,하,M,176.6,82.5
22,하,F,160.8,58.9
18,하,F,155.7,47.7
14,중,F,158.3,49.6
13,하,F,164.7,47.8
15,중,F,153.4,51.3
13,하,M,170.5,73.3
13,하,F,155.0,43.9
13,하,M,153.1,41.9
13,하,M,132.2,68.3
15,하,F,160.0,62.5
13,하,F,171.7,58.1
13,하,M,161.5,57.5
13,하,M,163.0,65.8
15,중,M,166.6,57.9
13,하,F,162.6,52.1
13,하,F,158.5,52.9
13,하,F,159.8,48.6
15,하,M,173.6,54.7
13,하,F,159.3,47.1
15,하,F,153.2,49.9
15,하,F,150.9,45.3
50,하,M,157.5,71.2
47,하,F,154.0,60.0
20,하,F,160.0,97.5
25,하,F,157.5,59.1
44,하,M,164.5,62.0
28,하,F,163.7,58.0
13,하,M,172.2,53.4
13,중,M,168.5,56.7
13,하,M,178.1,57.4
13,하,M,153.4,55.9
13,하,M,159.8,56.8
45,하,F,151.0,47.2
20,하,F,160.0,42.0
19,하,F,166.5,69.1
19,하,F,151.0,45.4
19,하,F,163.2,55.0
22,하,F,150.0,61.4
19,하,M,174.8,114.9
19,하,M,176.2,66.2
24,중,F,157.4,53.7
20,하,M,168.7,66.0
19,하,M,167.7,70.0
20,하,M,173.5,53.5
19,하,F,155.0,51.7
24,하,M,169.3,80.4
19,하,M,164.7,71.7
44,하,F,158.0,65.6
19,하,M,170.2,67.3
21,중,F,157.0,50.0
19,하,M,178.0,96.0
19,하,F,170.2,74.3
19,하,M,172.0,65.3
19,하,M,177.7,72.1
27,하,M,171.4,70.4
20,하,F,171.1,70.7
19,하,M,176.6,63.6
19,하,M,169.7,64.3
19,하,F,165.0,61.7
19,하,M,169.8,57.6
19,하,M,185.4,89.7
43,하,F,152.1,59.6
45,하,F,157.6,64.0
28,하,F,154.8,58.4
26,하,F,161.3,54.06
28,하,M,193.0,93.2
24,하,M,182.5,92.4
27,하,F,167.0,56.0
13,하,M,162.6,52.7
13,하,M,173.4,50.6
13,하,M,163.9,54.7
13,하,M,172.0,70.3
15,하,F,154.4,53.9
13,하,M,162.1,59.7
13,하,M,163.4,43.2
15,하,F,168.0,55.9
15,하,F,156.9,48.8
14,하,F,161.1,52.7
15,하,M,167.0,82.7
14,하,F,158.4,55.6
14,하,M,167.5,53.2
20,하,M,170.0,55.7
19,하,F,153.7,57.8
20,하,M,173.0,64.0
19,하,F,155.0,57.1
19,하,F,164.1,64.3
19,하,F,149.6,76.0
19,하,F,160.5,66.7
20,하,M,175.0,67.3
19,하,F,163.0,65.6
20,하,F,165.0,62.5
19,하,M,172.5,68.4
19,하,F,165.0,50.1
20,하,F,166.0,54.8
19,하,M,170.2,79.8
19,하,F,162.0,49.0
20,중,F,160.0,48.8
23,하,M,169.2,71.0
51,하,M,173.0,70.8
60,하,F,159.7,58.6
54,하,F,162.4,69.1
23,하,M,174.9,69.4
69,중,F,152.9,52.6
50,중,F,154.4,50.5
15,하,M,171.5,62.9
14,하,M,168.9,81.2
63,중,F,152.4,53.6
24,하,F,161.0,46.2
15,하,M,158.3,44.4
15,중,M,170.3,43.7
15,하,F,152.8,48.4
15,하,M,174.2,122.8
66,하,F,152.6,58.98
31,하,M,190.1,79.3
74,상,M,173.9,63.72
15,하,F,167.7,54.8
15,하,M,167.8,48.3
14,하,F,158.1,60.5
15,하,M,164.1,51.0
14,하,F,165.1,55.3
14,하,M,160.4,56.5
14,하,M,162.7,62.3
15,하,M,166.6,54.2
14,하,M,158.4,57.8
24,하,M,169.0,63.2
19,하,M,184.0,87.5
43,하,M,170.0,54.9
55,하,F,152.1,53.1
65,중,M,169.5,71.4
18,하,F,160.2,55.5
18,하,M,171.6,66.0
18,하,M,177.7,71.0
18,하,M,168.2,63.8
18,하,M,171.1,70.5
36,중,F,170.5,61.3
25,상,F,155.0,50.3
29,하,M,172.0,71.8
24,하,F,156.0,62.3
34,하,M,171.0,70.0
43,하,M,178.6,95.2
28,중,F,158.0,70.1
35,중,M,176.0,82.9
24,중,F,166.5,53.8
34,하,M,172.5,78.7
67,상,F,151.5,53.5
53,상,F,167.0,53.0
42,하,F,164.0,57.3
28,하,M,170.8,65.4
24,하,M,160.9,62.1
21,하,F,163.3,56.5
26,중,M,173.3,71.5
53,하,M,165.0,70.4
25,하,M,167.0,66.6
29,하,F,161.2,63.1
48,하,F,158.0,60.3
25,하,M,166.2,61.8
22,하,M,177.9,65.1
25,하,F,169.9,88.8
23,하,M,170.0,54.9
25,하,M,170.4,66.5
28,하,M,187.4,85.6
69,하,F,167.2,67.9
13,하,F,156.0,48.7
90,하,F,139.2,54.1
65,하,F,156.9,63.6
31,상,F,176.3,66.1
14,하,F,155.2,39.5
14,하,F,151.7,50.1
14,하,F,159.3,62.0
14,하,M,161.2,61.0
80,하,F,142.0,42.0
28,하,F,167.0,55.0
47,하,F,160.2,65.02
51,하,F,158.5,65.08
34,하,F,161.1,54.3
82,중,F,156.0,50.0
70,중,F,151.0,55.3
65,하,F,153.0,58.6
67,하,F,150.0,73.9
71,하,F,154.0,51.3
77,하,F,149.0,52.6
67,하,F,148.0,58.4
66,중,F,153.0,59.8
36,하,F,169.6,59.9
67,하,F,151.0,61.8
66,하,F,155.0,57.4
65,중,F,151.0,55.9
67,중,F,149.0,53.8
65,하,F,153.0,83.8
66,중,F,156.0,62.2
65,하,F,156.0,56.4
86,하,F,136.5,41.4
45,하,F,158.9,58.2
50,상,F,158.4,52.6
81,하,F,157.0,49.8
60,하,M,170.5,60.9
31,하,M,170.0,88.0
75,하,F,154.5,61.8
20,하,M,164.5,76.0
80,하,F,157.0,50.4
36,하,F,153.0,55.0
19,하,M,173.0,73.5
66,중,F,162.3,55.3
76,하,F,150.5,75.0
73,하,F,143.5,60.4
75,중,M,161.4,55.0
19,하,M,175.8,59.0
52,하,F,154.0,54.0
20,하,F,162.0,60.0
86,중,F,144.4,41.6
77,하,F,152.0,61.8
19,하,M,175.0,52.0
51,하,F,153.0,50.5
20,하,M,165.0,54.0
13,하,M,162.3,57.88
54,하,M,162.0,53.7
53,하,F,160.0,48.9
13,하,M,169.9,51.4
20,하,F,160.0,62.2
55,하,M,178.0,80.7
20,하,F,151.5,56.2
31,하,F,161.4,67.3
32,하,M,177.0,84.7
20,하,F,157.9,52.6
33,하,F,158.0,54.5
24,하,M,168.3,73.1
31,상,F,155.0,51.0
23,하,M,164.1,57.3
20,하,F,167.9,78.4
64,하,F,153.4,61.1
36,하,F,150.0,47.6
39,하,F,159.7,53.0
59,하,F,147.0,61.2
26,하,M,168.9,70.8
20,하,M,178.0,61.5
82,하,F,152.0,53.3
45,상,F,158.4,53.24
82,하,F,145.5,54.0
21,하,F,166.0,58.78
78,하,F,140.0,54.0
36,중,M,170.5,71.3
63,하,F,156.0,62.7
73,하,F,160.0,65.6
66,중,M,170.1,54.1
56,하,F,150.0,53.6
73,하,F,152.8,62.2
13,하,F,152.4,37.3
74,중,F,154.2,55.7
20,하,M,163.5,60.7
78,중,F,156.4,57.5
82,중,F,154.4,59.6
20,하,M,171.0,63.9
84,중,F,141.0,54.2
73,하,F,142.8,52.2
20,하,M,171.4,61.0
20,하,M,172.0,69.8
33,하,M,184.4,76.7
28,하,M,173.3,62.2
75,하,F,143.0,53.3
20,하,M,178.1,69.7
24,하,M,174.6,108.5
20,하,F,164.4,53.3
14,하,M,171.0,78.4
62,하,M,161.6,75.8
14,하,M,162.7,48.7
14,하,M,150.4,38.1
13,하,M,146.6,48.5
13,하,M,158.0,57.9
13,중,F,158.7,40.3
13,하,M,164.9,60.4
13,하,F,157.4,52.9
13,상,M,152.6,47.7
13,하,F,146.6,39.3
70,하,M,153.2,44.8
57,하,M,166.0,74.7
44,중,M,166.5,53.8
41,하,M,166.0,75.6
51,하,M,167.0,74.0
70,하,F,154.0,46.5
19,하,M,178.2,67.3
74,하,M,168.0,64.0
84,하,F,140.0,42.1
86,하,M,166.1,67.5
51,하,F,162.0,57.0
83,하,F,144.2,46.5
74,하,F,156.8,59.1
76,하,F,142.0,47.0
79,하,F,150.5,64.9
76,중,F,150.2,66.7
81,하,F,142.9,45.6
68,하,F,152.4,91.6
36,중,F,160.8,57.6
80,상,F,148.4,56.6
20,하,M,171.3,59.2
20,하,F,164.2,58.9
32,하,F,159.0,63.9
22,하,M,175.5,75.5
20,하,M,167.0,59.6
22,하,F,165.9,51.04
25,중,M,166.0,57.0
30,하,M,169.5,56.56
65,하,F,156.2,70.1
76,하,M,160.6,64.6
14,하,F,158.0,45.7
20,하,F,151.0,87.4
38,중,F,162.7,61.2
37,하,M,174.0,88.5
74,중,M,160.4,70.1
43,중,F,168.0,62.5
77,하,F,155.0,65.4
38,하,F,165.8,55.88
38,하,M,172.0,91.6
67,상,M,165.0,68.3
61,하,F,151.0,56.2
54,하,F,157.0,62.3
62,하,M,157.0,67.5
70,하,M,167.1,71.3
70,하,M,171.2,70.0
55,하,F,152.0,53.3
22,하,M,171.7,59.34
73,상,M,166.4,66.87
67,중,M,165.0,68.3
39,중,F,167.0,59.1
38,하,M,168.0,84.5
20,하,F,154.0,50.54
43,하,F,157.5,69.3
31,하,M,172.0,63.4
58,하,F,159.7,63.0
36,중,F,158.0,63.0
47,하,F,153.3,56.2
35,하,F,167.3,72.4
39,하,F,163.4,72.4
34,중,F,164.1,58.6
23,하,F,162.9,57.1
53,하,F,161.2,59.1
26,하,M,176.0,73.74
29,하,M,180.2,74.4
27,하,F,170.5,52.7
61,하,F,149.6,52.0
58,하,F,151.8,65.1
54,하,F,152.3,51.3
47,하,F,163.6,75.62
21,하,F,160.0,60.5
23,하,M,169.8,64.3
19,하,M,184.6,88.4
26,하,M,162.0,58.4
39,하,M,170.3,68.4
46,하,F,158.0,52.8
45,하,F,172.0,55.0
23,하,F,171.6,63.96
20,하,F,161.8,57.3
66,하,F,164.0,69.6
36,중,F,170.5,61.3
57,하,F,150.9,58.3
20,하,F,163.9,44.8
60,하,F,156.3,63.4
20,하,M,173.8,62.6
58,하,F,154.8,49.5
71,하,F,162.2,72.3
41,하,F,158.0,51.7
19,하,F,168.5,112.7
42,하,F,157.0,51.8
54,하,F,155.2,70.2
85,하,F,150.0,56.1
63,하,F,155.6,49.0
79,하,F,155.0,53.2
61,하,F,157.0,69.0
23,하,M,172.1,55.0
36,중,F,169.0,68.6
20,하,M,180.8,99.5
35,상,F,169.9,59.0
20,하,M,169.3,58.9
20,하,F,165.8,64.1
42,하,F,165.0,59.4
42,중,F,154.5,50.2
20,하,M,173.6,75.6
20,하,M,172.6,62.0
20,하,M,169.7,60.1
20,하,F,160.8,56.0
20,하,M,169.5,57.4
19,하,M,182.8,76.2
72,하,M,169.5,74.8
74,하,M,161.5,55.1
65,하,F,153.3,46.7
75,하,F,155.2,59.5
26,하,M,176.1,52.16
40,상,F,162.0,54.2
37,하,F,172.5,66.3
19,하,M,167.0,90.2
48,하,F,151.7,51.0
47,하,M,175.0,91.1
19,하,M,172.0,68.9
32,하,M,172.0,91.3
49,하,F,166.0,61.2
54,하,F,155.0,66.9
31,하,M,183.4,74.9
53,하,F,150.7,65.1
43,하,F,165.1,75.9
23,중,F,159.6,52.5
45,중,M,176.8,82.4
19,하,M,172.7,58.2
19,하,M,171.0,75.7
19,하,F,156.9,43.9
45,하,M,173.8,79.4
38,하,F,150.4,50.8
23,하,M,169.8,52.4
41,하,M,172.7,76.5
19,하,M,175.2,73.9
22,하,F,152.5,46.0
21,하,M,173.6,70.5
20,하,M,165.0,56.0
50,하,M,157.6,71.4
56,하,F,148.6,58.7
36,하,M,176.5,83.5
25,하,M,163.9,63.1
25,하,M,165.4,59.7
48,중,F,157.7,51.7
24,중,M,172.0,67.8
45,하,F,151.6,53.9
58,중,F,152.9,54.12
32,중,F,167.0,63.6
67,하,F,152.0,56.8
40,하,F,161.9,59.25
14,하,F,160.0,48.2
24,하,F,166.5,75.2
46,하,F,164.0,60.7
38,하,F,174.5,89.85
61,하,M,173.9,72.84
32,하,F,157.9,54.36
41,하,F,153.7,65.89
41,하,F,154.9,48.85
66,하,F,161.2,51.56
38,하,F,154.9,48.91
39,하,F,156.6,51.1
55,하,F,150.8,56.98
56,하,M,174.0,71.8
23,중,M,181.0,70.1
57,하,F,150.0,51.1
28,하,M,177.0,85.4
55,중,M,167.0,65.4
50,상,M,168.0,59.3
68,하,F,161.4,71.4
80,하,M,165.9,66.8
69,중,M,164.4,63.4
77,하,M,170.2,75.38
57,하,F,161.5,73.7
58,하,F,157.8,62.7
42,하,M,163.5,72.2
20,하,F,156.3,43.8
20,하,F,160.4,93.9
58,하,M,174.9,96.34
64,하,M,169.6,68.98
47,하,F,158.9,81.0
66,중,F,156.0,63.54
31,하,M,180.1,64.54
28,하,M,175.0,65.0
22,하,F,172.1,52.72
54,중,F,156.6,54.0
25,중,F,159.8,53.9
38,하,M,174.0,72.6
19,하,M,180.0,64.3
20,하,M,166.2,63.7
70,상,F,157.0,57.8
61,하,M,164.7,60.8
56,하,F,156.8,59.9
68,하,F,160.0,59.8
54,하,M,166.6,68.4
14,하,M,161.1,49.0
14,하,M,169.4,62.7
14,하,M,150.8,39.2
14,중,M,168.5,56.5
14,하,M,166.5,63.3
14,하,M,166.1,65.8
14,하,M,163.4,51.2
14,하,F,158.1,46.7
14,하,M,171.6,56.7
14,하,F,159.4,54.8
14,하,F,155.1,57.4
14,하,F,151.0,51.4
14,중,M,161.7,49.6
14,하,F,162.8,52.5
13,하,F,147.0,39.7
13,하,F,162.5,64.6
13,하,M,147.9,39.4
36,하,F,159.6,55.1
69,하,F,155.9,63.78
74,하,M,165.6,67.18
15,중,F,161.0,58.8
53,하,M,171.4,73.5
28,하,F,160.0,58.0
75,하,F,159.8,60.3
45,하,F,158.0,63.0
58,하,F,158.9,60.2
33,하,F,161.6,52.68
39,하,F,157.6,64.3
38,하,F,166.5,62.1
75,하,F,149.7,53.9
45,상,F,157.7,50.66
44,하,F,155.3,63.1
47,하,M,180.3,64.7
51,하,M,175.5,82.8
56,하,F,159.4,54.4
61,중,F,148.0,49.7
60,하,F,147.0,62.2
49,하,M,172.5,89.3
39,하,M,186.2,83.96
55,하,F,153.0,54.6
63,하,F,153.5,68.5
52,하,M,177.2,71.2
56,중,M,162.7,63.0
61,하,F,166.4,84.1
60,하,F,156.0,56.0
55,하,F,145.0,53.8
45,하,F,158.0,54.7
80,중,F,143.6,58.5
62,하,F,149.6,51.2
20,하,M,168.0,60.0
74,하,F,142.0,51.4
44,하,F,155.0,55.4
47,하,F,149.8,66.8
13,하,F,159.5,55.48
65,하,F,157.5,80.02
18,하,M,166.8,55.8
18,하,M,171.3,63.1
19,하,M,173.8,65.1
17,하,M,176.0,82.9
18,하,M,183.2,76.9
18,하,M,168.1,63.9
14,하,F,160.0,48.6
14,하,F,158.0,42.9
14,하,M,167.0,58.9
14,하,M,159.8,44.6
14,하,M,163.7,57.6
13,하,M,154.1,48.3
13,하,F,156.2,53.5
13,하,M,159.6,49.3
13,하,F,161.6,67.5
13,중,M,149.1,38.4
13,하,F,159.8,52.9
13,하,M,163.9,75.0
13,하,F,150.3,44.8
13,하,F,141.5,48.8
13,하,M,164.5,51.8
13,하,F,168.9,57.7
24,하,M,174.0,69.1
24,중,F,166.5,53.8
21,하,F,164.4,53.2
21,하,F,157.2,58.2
22,하,M,182.7,102.5
23,하,M,175.0,64.4
23,하,M,163.5,59.9
23,하,F,161.2,54.5
24,상,F,158.8,52.8
21,하,M,170.2,63.1
21,하,M,170.0,80.0
54,중,F,158.0,54.8
51,하,F,158.8,64.6
63,하,F,156.6,70.8
63,하,F,162.3,66.4
17,하,M,173.4,56.6
17,하,M,157.5,59.2
18,하,M,179.3,75.54
22,하,M,178.2,74.7
13,하,M,165.9,45.2
13,하,M,147.2,40.7
13,하,M,158.1,42.9
13,하,M,170.4,78.8
13,하,F,163.0,52.6
